NR_TURNO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCOES
1,FORTALEZA,1821382,1423608,397774
1,MARANGUAPE,75876,65873,10003
1,PALMÁCIA,8923,7809,1114
1,BATURITÉ,25538,21552,3986
1,MULUNGU,8191,7186,1005
1,PACOTI,10246,8993,1253
1,GUARAMIRANGA,5636,5060,576
1,QUIXADÁ,55981,47695,8286
1,IBARETAMA,11510,10391,1119
1,CHORÓ,11052,9663,1389
1,BANABUIÚ,14126,12419,1707
1,CASCAVEL,54723,47259,7464
1,PINDORETAMA,17745,15566,2179
1,ARACATI,52721,45964,6757
1,FORTIM,13570,12154,1416
1,ICAPUÍ,15849,14184,1665
1,PALHANO,8674,7903,771
1,RUSSAS,55001,47689,7312
1,JAGUARIBE,27584,22579,5005
1,ERERÉ,5737,4784,953
1,PEREIRO,14990,11567,3423
1,QUIXERAMOBIM,58944,48018,10926
1,PIQUET CARNEIRO,11519,9835,1684
1,SENADOR POMPEU,21094,17029,4065
1,IGUATU,65600,56894,8706
1,QUIXELÔ,13287,11974,1313
1,CEDRO,19440,16565,2875
1,LAVRAS DA MANGABEIRA,22541,18731,3810
1,ICÓ,47494,38565,8929
1,UMARI,6273,5209,1064
1,ORÓS,18579,13837,4742
1,MISSÃO VELHA,27616,23996,3620
1,ITAPIPOCA,87901,76347,11554
1,TURURU,13851,12423,1428
1,ANTONINA DO NORTE,7198,5598,1600
1,ASSARÉ,19622,15589,4033
1,TARRAFAS,7669,6183,1486
1,TAUÁ,46525,36702,9823
1,PARAMBU,28363,21608,6755
1,CRATEÚS,55135,44598,10537
1,IPAPORANGA,9429,7852,1577
1,IPU,33898,25799,8099
1,PIRES FERREIRA,8084,6831,1253
1,CARNAUBAL,12945,10850,2095
1,SÃO BENEDITO,34379,28192,6187
1,URUBURETAMA,16414,14621,1793
1,UMIRIM,14486,12740,1746
1,SÃO LUÍS DO CURU,11109,9690,1419
1,ALCÂNTARAS,9023,7615,1408
1,SOBRAL,142091,121470,20621
1,MERUOCA,11393,10219,1174
1,GRANJA,39721,33630,6091
1,MARTINÓPOLE,9316,8530,786
1,URUOCA,10433,9247,1186
1,ABAIARA,6947,6143,804
1,MILAGRES,21316,17928,3388
1,CRATO,86267,73360,12907
1,JUAZEIRO DO NORTE,174604,143931,30673
1,LIMOEIRO DO NORTE,43655,36979,6676
1,QUIXERÉ,17171,15146,2025
1,ACARAÚ,43178,37675,5503
1,CRUZ,19850,17068,2782
1,JIJOCA DE JERICOACOARA,16193,14367,1826
1,BARBALHA,45490,39247,6243
1,CAMOCIM,45371,38311,7060
1,CANINDÉ,55272,45736,9536
1,ITATIRA,17297,14882,2415
1,VIÇOSA DO CEARÁ,43226,36530,6696
1,SÃO GONÇALO DO AMARANTE,42742,37326,5416
1,CAUCAIA,222128,189148,32980
1,CAMPOS SALES,21141,16001,5140
1,SALITRE,13830,11241,2589
1,INDEPENDÊNCIA,21655,17550,4105
1,IPUEIRAS,33214,24240,8974
1,PORANGA,10439,8065,2374
1,IRAUÇUBA,17414,15404,2010
1,ITAPAJÉ,37088,32315,4773
1,TEJUÇUOCA,14506,13108,1398
1,JUCÁS,19092,15958,3134
1,CARIÚS,14609,12672,1937
1,SABOEIRO,12946,10022,2924
1,MORRINHOS,16962,15205,1757
1,SANTANA DO ACARAÚ,25043,21456,3587
1,MASSAPÊ,31087,26214,4873
1,SENADOR SÁ,6303,5664,639
1,MOMBAÇA,30664,25086,5578
1,MORADA NOVA,52660,45336,7324
1,IBICUITINGA,11950,11076,874
1,NOVA RUSSAS,24744,19232,5512
1,ARARENDÁ,9299,7330,1969
1,PACAJUS,49456,43369,6087
1,CHOROZINHO,16468,14681,1787
1,APUIARÉS,11426,10098,1328
1,GENERAL SAMPAIO,7408,6690,718
1,PENTECOSTE,30773,26625,4148
1,ACARAPE,11321,10354,967
1,BARREIRA,16932,15324,1608
1,REDENÇÃO,22663,19551,3112
1,ALTANEIRA,5773,5144,629
1,NOVA OLINDA,11723,10081,1642
1,SANTANA DO CARIRI,12490,10865,1625
1,HIDROLÂNDIA,14518,12512,2006
1,SANTA QUITÉRIA,31597,26946,4651
1,CATUNDA,8241,7318,923
1,SOLONÓPOLE,14659,12075,2584
1,DEPUTADO IRAPUAN PINHEIRO,7351,6211,1140
1,MILHÃ,11400,9500,1900
1,PACATUBA,48626,43226,5400
1,GUAIÚBA,18740,16563,2177
1,PEDRA BRANCA,32321,26292,6029
1,ACOPIARA,38699,32758,5941
1,CATARINA,9191,7587,1604
1,TAMBORIL,21892,17733,4159
1,MONSENHOR TABOSA,15532,12313,3219
1,VÁRZEA ALEGRE,29928,24630,5298
1,GRANJEIRO,5636,5098,538
1,FARIAS BRITO,15386,13888,1498
1,BOA VIAGEM,39155,33348,5807
1,MADALENA,13203,11376,1827
1,COREAÚ,18775,16746,2029
1,MORAÚJO,7340,6679,661
1,CARIRÉ,14272,12237,2035
1,GROAÍRAS,8658,7723,935
1,VARJOTA,16437,13726,2711
1,AQUIRAZ,57817,50652,7165
1,ARACOIABA,23324,21045,2279
1,OCARA,22515,20488,2027
1,ARARIPE,17653,13668,3985
1,POTENGI,7595,6206,1389
1,AURORA,19526,16600,2926
1,BREJO SANTO,33634,27752,5882
1,PORTEIRAS,13540,11504,2036
1,PENAFORTE,7552,6829,723
1,JATI,6681,5783,898
1,CARIRIAÇU,22841,19486,3355
1,JAGUARETAMA,15475,12662,2813
1,JAGUARIBARA,8480,7302,1178
1,IBIAPINA,17517,14504,3013
1,UBAJARA,23907,20290,3617
1,GUARACIABA DO NORTE,30812,25232,5580
1,CROATÁ,13706,11589,2117
1,ITAIÇABA,6647,6116,531
1,JAGUARUANA,26815,23700,3115
1,MAURITI,32937,27937,5000
1,HORIZONTE,55018,47541,7477
1,ITAITINGA,28123,24440,3683
1,RERIUTABA,16503,12913,3590
1,GRAÇA,13396,9777,3619
1,PACUJÁ,6214,5224,990
1,MUCAMBO,13350,10162,3188
1,TIANGUÁ,52391,45156,7235
1,FRECHEIRINHA,11960,10765,1195
1,BEBERIBE,43726,37043,6683
1,ALTO SANTO,12587,10424,2163
1,POTIRETAMA,5666,5136,530
1,IRACEMA,11664,9418,2246
1,EUSÉBIO,46399,39182,7217
1,AMONTADA,31716,27574,4142
1,MIRAÍMA,10901,9815,1086
1,TABULEIRO DO NORTE,25641,20242,5399
1,SÃO JOÃO DO JAGUARIBE,6911,5775,1136
1,BARRO,16126,13250,2876
1,BAIXIO,5677,4773,904
1,IPAUMIRIM,9323,7648,1675
1,BELA CRUZ,19560,16740,2820
1,MARCO,21015,18725,2290
1,TRAIRI,42558,36956,5602
1,ITAREMA,30050,25602,4448
1,NOVO ORIENTE,23395,19375,4020
1,QUITERIANÓPOLIS,16936,13889,3047
1,AIUABA,11552,9009,2543
1,ARNEIROZ,7055,6033,1022
1,MARACANAÚ,160798,141063,19735
1,CAPISTRANO,15210,13453,1757
1,ARATUBA,10992,9797,1195
1,ITAPIÚNA,15083,13288,1795
1,CHAVAL,10332,8879,1453
1,BARROQUINHA,12971,11488,1483
1,PARACURU,29492,25044,4448
1,PARAIPABA,24423,21681,2742
1,CARIDADE,15945,14302,1643
1,PARAMOTI,9438,8285,1153
1,JARDIM,20996,17267,3729
1,FORQUILHA,17923,15966,1957
